start,end,text
0.0,13.0,【早送り中】
13.0,14.0,こんばんは
14.0,17.5,【早送り中】
17.5,18.5,どうも
18.5,26.5,【早送り中】
26.5,27.5,よっこいしょっと
27.5,35.0,【早送り中】
35.0,36.0,わー寒い
36.0,52.0,【早送り中】
52.0,53.0,髪切ってきました
53.0,56.0,【早送り中】
56.0,57.5,だいぶさっぱりしただろう
57.5,60.5,【早送り中】
60.5,62.5,だいぶさっぱりしただろう
62.5,64.5,【早送り中】
64.5,66.5,すごい短くない?
66.5,69.5,【早送り中】
69.5,72.0,なんかさ担当の美容師さんにさ
72.0,73.5,【早送り中】
73.5,77.5,この髪型にしたら加藤さんって魚口のボーカルに似てますねって言われちゃったよ
77.5,80.5,【早送り中】
80.5,82.5,あ、まじっすかあんま言われないっすって言った
82.5,85.5,【早送り中】
86.0,88.0,なんかあのー変なさー
88.0,90.0,くっそー
90.0,92.0,足目のやつにしてやろうと思ったんだけど
92.0,94.0,できなかったわ
94.0,96.0,【早送り中】
96.0,97.0,ニコ生でやろうと思ったんだけどさ
97.0,99.0,カメラがなくてさ
99.0,101.0,携帯じゃニコ生できねーからさ
101.0,103.0,ツイキャスでいいやと思って
103.0,105.0,どうせニコ生でミラー立つだろって
105.0,106.0,【早送り中】
106.0,107.0,っていう
107.0,112.0,【早送り中】
112.0,114.0,髪切るのに36時間かかりました
114.0,116.0,嘘じゃないですずーっと切ってた
116.0,118.0,1ミリずつ1ミリずつ
118.0,120.0,嘘じゃないからこれ
120.0,122.0,あ、もう経ってる?
122.0,124.0,仕事早えな!
124.0,126.0,仕事
128.0,130.0,さっぱりしただろめっちゃ
132.0,134.0,めっちゃさっぱりしただろ
136.0,138.0,すっげーがっつり切ったわ
140.0,142.0,こんな短いのってあんまないよね
144.0,146.0,ボッちゃんみたいで可愛い
146.0,148.0,まじで
148.0,150.0,がっつりここさ
150.0,152.0,借り上げてやろうと思ったんだけど
152.0,154.0,さすがにやめといたわ
154.0,156.0,なんで30代で別に
156.0,158.0,ショートヘアーだったらよくない?
158.0,160.0,後ろとか超短いよ
162.0,164.0,なんだこれ
166.0,168.0,もっと短くてもよかったかな
170.0,172.0,髪の毛切ったらさ寒くてさ
172.0,174.0,あー
174.0,176.0,まじで
176.0,178.0,さっぱりしていいよねすごいね
180.0,182.0,セットはいいよ適当で
182.0,184.0,今度なんかちゃんとみんなの
184.0,186.0,前に立つときにバッチリセットしとくわ
188.0,190.0,前髪長ぇか
190.0,192.0,俺なんか前髪切ろうかなと思ったんだけど
194.0,196.0,担当の美容師さんがさ
196.0,198.0,いやー加藤さんは前髪あった方がいいっすよ
198.0,200.0,って言われたから
200.0,202.0,あーそうっすか
202.0,204.0,魚クッションになっただろう
206.0,208.0,魚クッションに
208.0,210.0,似てるって言われたわ
210.0,212.0,丁度美容室でさ
212.0,214.0,ルンルンルン
214.0,216.0,ルンルンルンルン
216.0,218.0,ルンルンルンルン
218.0,220.0,ルンルンルンルン
220.0,222.0,俺
222.0,224.0,俺意識みたいな感じで
224.0,226.0,会話も
226.0,228.0,クソ盛り上がんなくて
228.0,230.0,丁度魚クッション流れてますね
230.0,232.0,みたいなさ
232.0,234.0,一番したくない会話してたわ
